1368.15	550379
1367.1	553723
1366.04	561309
1364.99	568874
1363.93	581191
1362.88	593440
1361.83	601696
1360.77	604577
1359.71	597756
1358.66	587933
1357.6	579300
1356.55	570368
1355.49	565222
1354.44	562038
1353.38	556613
1352.32	553631
1351.27	553708
1350.21	551705
1349.15	553421
1348.09	552791
1347.03	552847
1345.98	555566
1344.92	555726
1343.86	555375
1342.8	560759
1341.74	563155
1340.68	564884
1339.62	570435
1338.56	573533
1337.5	574027
1336.44	575939
1335.38	576166
1334.32	576466
1333.26	574365
1332.2	569501
1331.14	566274
1330.08	562655
1329.02	559934
1327.95	557860
1326.89	554212
1325.83	552210
1324.77	551016
1323.7	548395
1322.64	549045
1321.58	547761
1320.51	547551
1319.45	547579
1318.39	545724
1317.32	545055
1316.26	544583
1315.19	545329
1314.13	545885
1313.06	546300
1312	546813
1310.93	547866
1309.86	549870
1308.8	550176
1307.73	550913
1306.67	553677
1305.6	554122
1304.53	554649
1303.46	552707
1302.4	553351
1301.33	550826
1300.26	550719
1299.19	550995
1298.12	549716
1297.06	549035
1295.99	549754
1294.92	551905
1293.85	549184
1292.78	551987
1291.71	550573
1290.64	552848
1289.57	552915
1288.5	553181
1287.43	552148
1286.36	552339
1285.28	551641
1284.21	552000
1283.14	552976
1282.07	552313
1281	550554
1279.92	551381
1278.85	550868
1277.78	553722
1276.71	552218
1275.63	553626
1274.56	553569
1273.49	552452
1272.41	554311
1271.34	555373
1270.26	554240
1269.19	554055
1268.11	553860
1267.04	553428
1265.96	553863
1264.89	554152
1263.81	554064
1262.73	554030
1261.66	555914
1260.58	555517
1259.5	555981
1258.43	557858
1257.35	561019
1256.27	566845
1255.2	570092
1254.12	576033
1253.04	576668
1251.96	572055
1250.88	567392
1249.8	563246
1248.72	562306
1247.64	561405
1246.56	562086
1245.48	563010
1244.4	565510
1243.32	566889
1242.24	570832
1241.16	572512
1240.08	572107
1239	569897
1237.92	567834
1236.84	565704
1235.76	562750
1234.67	562537
1233.59	561666
1232.51	561056
1231.42	561811
1230.34	560592
1229.26	560267
1228.17	561856
1227.09	561094
1226.01	561343
1224.92	561788
1223.84	561340
1222.75	563353
1221.67	563306
1220.58	563107
1219.5	564866
1218.41	565069
1217.32	565072
1216.24	566385
1215.15	566696
1214.07	566233
1212.98	566397
1211.89	564385
1210.8	566701
1209.72	568523
1208.63	566910
1207.54	568927
1206.45	568366
1205.36	569991
1204.27	570112
1203.18	568924
1202.1	569263
1201.01	568253
1199.92	567617
1198.83	569045
1197.74	570176
1196.65	570320
1195.55	571478
1194.46	575234
1193.37	577724
1192.28	581647
1191.19	584658
1190.1	586758
1189	586292
1187.91	584205
1186.82	580976
1185.73	577093
1184.63	573520
1183.54	570670
1182.45	569690
1181.35	568383
1180.26	566209
1179.16	567462
1178.07	566001
1176.97	566890
1175.88	565094
1174.78	564178
1173.69	564351
1172.59	567110
1171.5	565952
1170.4	566288
1169.3	566710
1168.21	565282
1167.11	565843
1166.01	564269
1164.91	565393
1163.82	565688
1162.72	566264
1161.62	566711
1160.52	567630
1159.42	567733
1158.32	564295
1157.22	566231
1156.13	566805
1155.03	566898
1153.93	567252
1152.83	568208
1151.72	568871
1150.62	568382
1149.52	570051
1148.42	568099
1147.32	568530
1146.22	567481
1145.12	570323
1144.02	569743
1142.91	569418
1141.81	570376
1140.71	571786
1139.6	572580
1138.5	570029
1137.4	571425
1136.29	572114
1135.19	574517
1134.08	574727
1132.98	574930
1131.88	574864
1130.77	577666
1129.66	580254
1128.56	583292
1127.45	586113
1126.35	588361
1125.24	586944
1124.13	584957
1123.03	582901
1121.92	580073
1120.81	577425
1119.71	576852
1118.6	575794
1117.49	576636
1116.38	575721
1115.27	575242
1114.16	575024
1113.06	574308
1111.95	575431
1110.84	576621
1109.73	576809
1108.62	577246
1107.51	576897
1106.4	577025
1105.29	577484
1104.17	577916
1103.06	579635
1101.95	578215
1100.84	577180
1099.73	577288
1098.62	575649
1097.5	576615
1096.39	576945
1095.28	575905
1094.16	575345
1093.05	573812
1091.94	574512
1090.82	574667
1089.71	575703
1088.59	573689
1087.48	573245
